GEO_ID,NAME,TOTAL,MALE,M_UNDER,FEMALE,F_OVER
48005,"Angelina County, Texas",87101,43242,11623,43859,33689
48021,"Bastrop County, Texas",106188,53414,12961,52774,38897
48027,"Bell County, Texas",388386,193812,53874,194574,142431
48029,"Bexar County, Texas",2059530,1024634,258149,1034896,786853
48037,"Bowie County, Texas",92035,45528,10444,46507,35409
48039,"Brazoria County, Texas",388181,196431,51017,191750,143856
48041,"Brazos County, Texas",242014,121469,23507,120545,95932
48061,"Cameron County, Texas",425208,210080,62104,215128,155678
48085,"Collin County, Texas",1158696,577666,144392,581030,441721
48091,"Comal County, Texas",184642,91954,20531,92688,72758
48099,"Coryell County, Texas",85057,42978,8918,42079,32589
48113,"Dallas County, Texas",2600840,1293425,331684,1307415,990698
48121,"Denton County, Texas",977281,484286,115606,492995,382148
48135,"Ector County, Texas",160869,81812,23715,79057,55501
48139,"Ellis County, Texas",212182,105284,28158,106898,79639
48141,"El Paso County, Texas",868763,432804,114058,435959,325260
48157,"Fort Bend County, Texas",889146,439315,120528,449831,334822
48167,"Galveston County, Texas",357117,177515,43650,179602,139593
48181,"Grayson County, Texas",143131,70224,17284,72907,56311
48183,"Gregg County, Texas",125443,61375,16424,64068,48421
48187,"Guadalupe County, Texas",182760,91889,22987,90871,70454
48201,"Harris County, Texas",4780913,2381745,626623,2399168,1795544
48203,"Harrison County, Texas",69955,33192,7344,36763,27516
48209,"Hays County, Texas",269225,133562,29772,135663,105516
48213,"Henderson County, Texas",84511,42275,9849,42236,34183
48215,"Hidalgo County, Texas",888367,439292,139588,449075,314518
48221,"Hood County, Texas",66373,32324,6878,34049,27453
48231,"Hunt County, Texas",108282,53346,13364,54936,42455
48245,"Jefferson County, Texas",250830,129722,31531,121108,91712
48251,"Johnson County, Texas",195506,98495,25937,97011,73255
48257,"Kaufman County, Texas",172366,85705,25413,86661,63194
48291,"Liberty County, Texas",101992,50650,15374,51342,36730
48303,"Lubbock County, Texas",317561,156912,37773,160649,124128
48309,"McLennan County, Texas",266836,131783,33381,135053,105017
48329,"Midland County, Texas",171999,88167,26436,83832,60239
48339,"Montgomery County, Texas",678490,337701,88034,340789,255130
48355,"Nueces County, Texas",351674,176510,44436,175164,135836
48361,"Orange County, Texas",84934,42859,10895,42075,31490
48367,"Parker County, Texas",165834,84308,21474,81526,62644
48375,"Potter County, Texas",115645,59818,15722,55827,40819
48381,"Randall County, Texas",146140,72549,18287,73591,57258
48397,"Rockwall County, Texas",123208,62263,17372,60945,45981
48409,"San Patricio County, Texas",69954,36078,9952,33876,25680
48423,"Smith County, Texas",241922,118130,30351,123792,96052
48427,"Starr County, Texas",65728,32086,10661,33642,23139
48439,"Tarrant County, Texas",2154595,1061166,276735,1093429,827053
48441,"Taylor County, Texas",145163,71487,17975,73676,56641
48451,"Tom Green County, Texas",118892,59793,14442,59099,45150
48453,"Travis County, Texas",1326436,679283,135392,647153,518495
48469,"Victoria County, Texas",91065,45864,11680,45201,34316
48471,"Walker County, Texas",78870,48547,7828,30323,26830
48479,"Webb County, Texas",267780,133476,42156,134304,93868
48485,"Wichita County, Texas",129978,67331,15079,62647,48314
48491,"Williamson County, Texas",671418,335139,82078,336279,258343
48497,"Wise County, Texas",74895,38354,9514,36541,27896