State,Total_Area,Total_Count
Alaska,3110976,595
New Mexico,859906,748
Texas,671800,12571
Oregon,456082,2117
Idaho,436733,1088
Oklahoma,385133,2811
California,309287,7884
Washington,173659,1492
Florida,164774,2784
Montana,137509,2087
Arizona,124165,1432
Kansas,84015,67
Nebraska,76534,568
Kentucky,59199,1280
Nevada,58402,506
Mississippi,53170,1980
Colorado,45732,835
South Dakota,42148,527
Alabama,40975,2710
Arkansas,39028,1903
North Carolina,28851,6222
Utah,27245,945
Wyoming,25766,443
Hawaii,25053,5
Georgia,25017,3621
Louisiana,24475,1259
West Virginia,20275,893
New Jersey,15532,1165
Tennessee,15059,1225
Virginia,9956,558
Missouri,4968,136
Minnesota,3715,713
Michigan,3522,376
Maryland,3139,117
Ohio,3063,724
Pennsylvania,2588,951
Massachusetts,1756,1192
Indiana,1643,49
North Dakota,1509,111
New York,1313,162
Wisconsin,881,923
South Carolina,677,32
Maine,425,730
New Hampshire,381,103
Connecticut,347,150
Illinois,298,32
Iowa,288,7
Vermont,83,86
Delaware,79,7
Rhode Island,44,76